Date,BTC-USD,DOGE-USD,XRP-USD,DASH-USD,ETH-USD
2020-09-20,10938.271484375,0.0027779999654740095,0.24674299359321594,70.77013397216797,371.0528259277344
2020-09-21,10462.259765625,0.002630000002682209,0.232137992978096,67.06053161621094,341.78607177734375
2020-09-22,10538.4599609375,0.002655999967828393,0.23341700434684753,68.17486572265625,344.503173828125
2020-09-23,10225.8642578125,0.002563999965786934,0.22165699303150177,65.06328582763672,320.5855407714844
2020-09-24,10745.548828125,0.002644000109285116,0.23301799595355988,67.8101806640625,349.3566589355469
2020-09-25,10702.2900390625,0.002706000115722418,0.24180500209331512,68.5501708984375,352.161865234375
2020-09-26,10754.4375,0.002707999898120761,0.24236899614334106,69.184326171875,354.96527099609375
2020-09-27,10774.4267578125,0.002701000077649951,0.2432519942522049,68.74909973144531,357.3216857910156
2020-09-28,10721.3271484375,0.0026579999830573797,0.24205100536346436,67.52095031738281,354.95050048828125
2020-09-29,10848.830078125,0.0026809999253600836,0.24313899874687195,68.65917205810547,359.9634094238281
2020-09-30,10787.6181640625,0.0026420000940561295,0.2423110008239746,69.10884094238281,360.0223693847656
2020-10-01,10623.330078125,0.0026149998884648085,0.23836100101470947,68.12047576904297,353.2312927246094
2020-10-02,10585.1640625,0.0025839998852461576,0.23420199751853943,66.09523010253906,346.53265380859375
2020-10-03,10565.4931640625,0.0026050000451505184,0.2335049957036972,65.91384887695312,347.32159423828125
2020-10-04,10684.4287109375,0.0026459998916834593,0.2485020011663437,66.57180786132812,353.1219177246094
2020-10-05,10804.0009765625,0.002626999979838729,0.25089600682258606,67.12074279785156,354.277099609375
2020-10-06,10621.6640625,0.0026100000832229853,0.2458599954843521,65.49224090576172,341.0211486816406
2020-10-07,10679.13671875,0.0026000000070780516,0.24904100596904755,65.99313354492188,342.1197814941406
2020-10-08,10923.6279296875,0.0026030000299215317,0.2516149878501892,66.41931915283203,351.4556579589844
2020-10-10,11296.361328125,0.0026549999602138996,0.25429001450538635,67.92839813232422,370.96759033203125
2020-10-11,11384.181640625,0.0026740001048892736,0.25571900606155396,71.83441162109375,375.1420593261719
2020-10-14,11429.5068359375,0.0026370000559836626,0.2494480013847351,70.0667495727539,379.4840393066406
2020-10-15,11495.349609375,0.002592999953776598,0.24593999981880188,69.3594741821289,377.44183349609375
2020-10-16,11322.123046875,0.002612000098451972,0.24044300615787506,66.16106414794922,366.22900390625
2020-10-17,11358.1015625,0.002581000095233321,0.24093100428581238,67.1962890625,368.8559265136719
2020-10-18,11483.359375,0.0025859999004751444,0.24222500622272491,67.17024993896484,378.21368408203125
2020-10-19,11742.037109375,0.002589999930933118,0.24596400558948517,74.75453186035156,379.93560791015625
2020-10-20,11916.3349609375,0.002601000014692545,0.24357299506664276,71.03839874267578,369.13690185546875
2020-10-21,12823.689453125,0.002630000002682209,0.2516149878501892,74.97782135009766,392.1899719238281
2020-10-22,12965.8916015625,0.0026549999602138996,0.25680699944496155,74.71100616455078,413.7729797363281
2020-10-23,12931.5390625,0.0026469998992979527,0.2548789978027344,72.1798095703125,409.7666931152344
2020-10-24,13108.0625,0.0026459998916834593,0.2564310133457184,73.39153289794922,412.4576110839844
2020-10-25,13031.173828125,0.002652999944984913,0.25321298837661743,71.20867156982422,406.2177734375
2020-10-26,13075.248046875,0.002678999910131097,0.2486879974603653,69.3659896850586,393.8883056640625
2020-10-27,13654.21875,0.00267699989490211,0.2528989911079407,70.75090026855469,403.9970397949219
2020-10-28,13271.28515625,0.0025949999690055847,0.24586500227451324,68.22850036621094,388.6507568359375
2020-10-29,13437.8828125,0.002581000095233321,0.24229499697685242,66.9813003540039,386.7301025390625
2020-10-30,13546.5224609375,0.002597999991849065,0.23918400704860687,69.65248107910156,382.8199768066406
2020-10-31,13780.9951171875,0.0025760000571608543,0.23974399268627167,70.16812896728516,386.59033203125
2020-11-01,13737.109375,0.0025820001028478146,0.23979699611663818,68.5901107788086,396.3581848144531
2020-11-02,13550.4892578125,0.002517000073567033,0.23542100191116333,65.12427520751953,383.15673828125
2020-11-03,13950.30078125,0.0025279999244958162,0.23950999975204468,64.27840423583984,387.6021728515625
2020-11-04,14133.70703125,0.002532999962568283,0.2377929985523224,64.59031677246094,402.1419982910156
2020-11-05,15579.8486328125,0.002616999903693795,0.2457759976387024,67.82825469970703,414.0673522949219
2020-11-06,15565.880859375,0.0027600000612437725,0.25844499468803406,69.95045471191406,454.71929931640625
2020-11-07,14833.75390625,0.0026710000820457935,0.24958199262619019,66.69549560546875,435.713134765625
2020-11-08,15479.5673828125,0.002710999920964241,0.2539390027523041,68.03408813476562,453.5547790527344
2020-11-09,15332.3154296875,0.0026700000744313,0.25074800848960876,68.06021881103516,444.1630554199219
2020-11-10,15290.90234375,0.002753000007942319,0.25391098856925964,68.89407348632812,449.67962646484375
2020-11-11,15701.33984375,0.002768999896943569,0.2562589943408966,69.42821502685547,462.9605407714844
2020-11-12,16276.34375,0.002778999973088503,0.25490298867225647,78.02249145507812,461.0052795410156
2020-11-13,16317.80859375,0.0028210000600665808,0.265190988779068,77.5747299194336,474.6264343261719
2020-11-14,16068.138671875,0.0027729999274015427,0.268341988325119,77.31242370605469,460.14984130859375
2020-11-15,15955.587890625,0.0027749999426305294,0.2696419954299927,75.12223815917969,447.55908203125
2020-11-16,16716.111328125,0.0028860000893473625,0.2855199873447418,80.61698913574219,459.9403076171875
2020-11-17,17645.40625,0.0029360000044107437,0.30240800976753235,83.07083892822266,480.3600769042969
